UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
78,L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure
1088,H30501,H,296.9,307.8,1549,35.8,206,1,Tool Wear Failure
1510,L48689,L,298,308.5,1429,37.7,220,1,Tool Wear Failure
1683,H31096,H,297.9,307.4,1604,36.1,225,1,Tool Wear Failure
1764,L48943,L,298.2,307.6,1511,31,209,1,Tool Wear Failure
1997,M16856,M,298.4,308,1416,38.2,198,1,Tool Wear Failure
2167,M17026,M,299.6,309.2,1867,23.4,225,1,Tool Wear Failure
2245,M17104,M,299.3,308.4,1542,37.5,203,1,Tool Wear Failure
2672,M17531,M,299.7,309.3,1399,41.9,221,1,Tool Wear Failure
2865,H32278,H,300.6,309.4,1380,47.6,246,1,Tool Wear Failure
2942,M17801,M,300.7,309.6,1996,19.8,203,1,Tool Wear Failure
3530,L50709,L,301.9,310.9,1567,39,214,1,Tool Wear Failure
3612,L50791,L,301.7,310.9,1405,46.4,207,1,Tool Wear Failure
3696,L50875,L,302.2,311.3,1530,37.3,207,1,Tool Wear Failure
3866,H33279,H,302.6,311.5,1629,34.4,228,1,Tool Wear Failure
4035,L51214,L,302,310.8,1615,29,235,1,Tool Wear Failure
4208,M19067,M,302.3,310.9,1710,30.4,218,1,Tool Wear Failure
4386,L51565,L,301.8,309.7,1442,45.3,233,1,Tool Wear Failure
4470,L51649,L,302.7,310.5,1446,40.9,211,1,Tool Wear Failure
4647,L51826,L,303.3,311.4,1497,46,234,1,Tool Wear Failure
4817,L51996,L,303.4,312,1521,35.9,215,1,Tool Wear Failure
5142,L52321,L,304.4,313.7,1509,35,205,1,Tool Wear Failure
5310,M20169,M,303.9,313.2,1422,48,215,1,Tool Wear Failure
5402,M20261,M,302.6,312.3,1454,54.8,253,1,Tool Wear Failure
6000,M20859,M,300.4,310.2,1671,30.5,234,1,Tool Wear Failure
6173,L53352,L,300.8,310.6,1577,37.9,227,1,Tool Wear Failure
6257,L53436,L,301,310.6,1493,37.8,206,1,Tool Wear Failure
6341,H35754,H,300.5,309.9,1397,45.9,210,1,Tool Wear Failure
6420,H35833,H,300.3,309.9,1394,46.7,210,1,Tool Wear Failure
6760,L53939,L,301.7,311,1441,44.3,208,1,Tool Wear Failure
7088,L54267,L,300.6,310.3,1648,30.5,217,1,Tool Wear Failure
7427,M22286,M,300,311.4,1692,29,216,1,Tool Wear Failure
7511,L54690,L,300.5,311.8,1524,38.9,214,1,Tool Wear Failure
7688,M22547,M,300.7,311.7,2097,18.9,232,1,Tool Wear Failure
7850,M22709,M,300.3,311.7,1374,47.9,222,1,Tool Wear Failure
8112,M22971,M,300.4,311.8,1553,33.1,209,1,Tool Wear Failure
8200,L55379,L,299.2,310.7,1737,27,225,1,Tool Wear Failure
8358,L55537,L,298.5,309.5,1385,46.3,203,1,Tool Wear Failure
